TRAP ID,Lat,Long
1026,42.689354,25.371725
1031,42.701337,25.353101
1032,42.703133,25.351985
1042,42.700141,25.348373
1034,42.702655,25.347987
1035,42.702357,25.347456
1036,42.702723,25.347384
1037,42.704853,25.348799
1038,42.70713,25.348656
1039,42.705521,25.346335
1040,42.705482,25.344657
1041,42.706308,25.345734
1055,42.664873,25.30664
1066,42.673922,25.24526
1067,42.670017,25.241125
1068,42.680845,25.234487
1069,42.681378,25.233672
1070,42.680225,25.233502
1071,42.656307,25.21539
1057,42.66972,25.316935
1059,42.681548,25.325159
1060,42.678813,25.316116
1063,42.667452,25.322524
3257,42.690977,25.350862
3255,42.689877,25.353063
3256,42.689993,25.354208
3258,42.691665,25.353927
2080,42.69169,25.352455
3259,42.691933,25.35129
3254,42.68955,25.350896
3250,42.69519,25.348785
3252,42.699617,25.342905
3266,42.688913,25.302192
3269,42.688243,25.30234
3270,42.692511,25.307265
3271,42.694621,25.309826
3272,42.69267,25.310036
3267,42.688621,25.302239
3251,42.68805,25.368876
3260,42.700135,25.33359
3261,42.700042,25.335543
2081,42.699317,25.338995
3262,42.699613,25.331497
3263,42.699598,25.330465
3264,42.701042,25.331444
2082,42.670536,25.225552
3273,42.694007,25.340106
3454,42.663957,25.212905
3453,42.663703,25.214376
3452,42.66352,25.2148
2083,42.663936,25.214335
2084,42.663975,25.214065
2085,42.664045,25.215549
2086,42.664017,25.216534
3445,42.663893,25.216888
3444,42.663725,25.216963
3443,42.663479,25.217025
3440,42.663945,25.218558
3439,42.66335,25.21847
3446,42.663342,25.216702
2092,42.66258,25.218558
2094,42.663638,25.22064
2093,42.663474,25.222389
3326,42.661711,25.223734
3375,42.661585,25.223832
3325,42.661121,25.224621
3438,42.66082,25.225134
3353,42.660009,25.225934
3349,42.659537,25.226274
3447,42.663462,25.21629
3442,42.663398,25.217846
2091,42.662692,25.217693
3275,42.626116,25.270679
2097,42.663051,25.214101
2098,42.662431,25.214482
2099,42.661516,25.215233
2100,42.66162,25.215561
2102,42.661005,25.215888
2103,42.659839,25.21666
2104,42.659617,25.216351
2105,42.659372,25.217076
2106,42.659395,25.217374
2108,42.658626,25.219685
2109,42.658557,25.21987
2110,42.658287,25.219973
2113,42.659304,25.218797
2115,42.660316,25.218237
2116,42.66124,25.216482
2118,42.66229,25.215665
2119,42.661645,25.216145
2117,42.66232,25.217223
2120,42.666846,25.217871
2121,42.667178,25.216963
2123,42.665491,25.224563
2124,42.665931,25.225004
2125,42.665243,25.22594
2126,42.664382,25.227905
2127,42.664676,25.228358
2128,42.665958,25.225831
2129,42.667119,25.225586
2130,42.666556,25.224954
2131,42.667126,25.224549
2132,42.668537,25.216911
2134,42.668594,25.210662
2135,42.668747,25.211706
